route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,booking_rule_id
4930,c_20963_b_28680_d_127,t_1310154_b_28680_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310153_b_28680_tn_0,,East L.A. College,0,,p_8194,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1311490_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1311489_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1311488_b_28680_tn_0,,East L.A. College,0,,p_8194,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1311487_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1311486_b_28680_tn_0,,East L.A. College,0,,p_8195,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310252_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310253_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310255_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310256_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310257_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310259_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310261_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310262_b_28680_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310263_b_28680_tn_0,,Whittier & Montebello,0,,p_8196,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310226_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310224_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310225_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310223_b_28680_tn_0,,East L.A. College,0,,p_8197,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1311701_b_28680_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310264_b_28680_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310265_b_28680_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310266_b_28680_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310267_b_28680_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310268_b_28680_tn_0,,Whitwood Mall,1,,p_8190,,,,,,,,,,,
4930,c_20963_b_28680_d_127,t_1310269_b_28680_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
